backend,density_A,density_B,or_time_ms
Concise,0.1%,5%,31.7938
Concise,0.1%,10%,20.9262
Concise,0.1%,20%,20.1704
Concise,0.1%,30%,19.3494
Concise,0.1%,40%,18.976
Concise,0.1%,50%,20.1989
Concise,0.5%,0.1%,11.7343
Concise,0.5%,0.5%,23.0809
Concise,0.5%,1%,35.4991
Concise,0.5%,2%,47.6135
Concise,0.5%,5%,38.3302
Concise,0.5%,10%,28.7668
Concise,0.5%,20%,27.31
Concise,0.5%,30%,26.8353
Concise,0.5%,40%,26.9063
Concise,0.5%,50%,26.8284
Concise,1%,0.1%,23.4537
Concise,1%,0.5%,35.4991
Concise,1%,1%,38.7262
Concise,1%,2%,48.9943
Concise,1%,5%,46.1304
Concise,1%,10%,37.7711
Concise,1%,20%,36.5297
Concise,1%,30%,36.1587
Concise,1%,40%,36.0339
Concise,1%,50%,35.9331
Concise,2%,0.1%,39.1538
Concise,2%,0.5%,47.6135
Concise,2%,1%,48.9943
Concise,2%,2%,56.8861
Concise,2%,5%,52.7287
Concise,2%,10%,45.7528
Concise,2%,20%,44.8336
Concise,2%,30%,44.7149
Concise,2%,40%,44.7255
Concise,2%,50%,44.5458
Concise,5%,0.1%,31.7938
Concise,5%,0.5%,38.3302
Concise,5%,1%,46.1304
Concise,5%,2%,52.7287
Concise,5%,5%,36.7876
Concise,5%,10%,31.2485
Concise,5%,20%,30.6088
Concise,5%,30%,30.3188
Concise,5%,40%,30.3082
Concise,5%,50%,30.3614
Concise,10%,0.1%,20.9262
Concise,10%,0.5%,28.7668
Concise,10%,1%,37.7711
Concise,10%,2%,45.7528
Concise,10%,5%,31.2485
Concise,10%,10%,28.0975
Concise,10%,20%,26.479
Concise,10%,30%,26.5976
Concise,10%,40%,26.4406
Concise,10%,50%,26.434
Concise,20%,0.1%,20.1704
Concise,20%,0.5%,27.31
Concise,20%,1%,36.5297
Concise,20%,2%,44.8336
Concise,20%,5%,30.6088
Concise,20%,10%,26.479
Concise,20%,20%,25.4406
Concise,20%,30%,25.4472
Concise,20%,40%,25.4961
Concise,20%,50%,25.3594
Concise,30%,0.1%,19.3494
Concise,30%,0.5%,26.8353
Concise,30%,1%,36.1587
Concise,30%,2%,44.7149
Concise,30%,5%,30.3188
Concise,30%,10%,26.5976
Concise,30%,20%,25.4472
Concise,30%,30%,25.3754
Concise,30%,40%,25.2592
Concise,30%,50%,25.2578
Concise,40%,0.1%,18.976
Concise,40%,0.5%,26.9063
Concise,40%,1%,36.0339
Concise,40%,2%,44.7255
Concise,40%,5%,30.3082
Concise,40%,10%,26.4406
Concise,40%,20%,25.4961
Concise,40%,30%,25.2592
Concise,40%,40%,25.2598
Concise,40%,50%,25.0717
Concise,50%,0.1%,20.1989
Concise,50%,0.5%,26.8284
Concise,50%,1%,35.9331
Concise,50%,2%,44.5458
Concise,50%,5%,30.3614
Concise,50%,10%,26.434
Concise,50%,20%,25.3594
Concise,50%,30%,25.2578
Concise,50%,40%,25.0717
Concise,50%,50%,24.6764
