backend,case,or_time_ms,min_ms,max_ms,replicates,source_operation,source_files
DDC,A1311_B1311,1.44184,1.43565,1.44285,3,OR_op,raw/density_r1_A1311_B1311_ddc.csv;raw/density_r2_A1311_B1311_ddc.csv;raw/density_r3_A1311_B1311_ddc.csv
CRoaring,A1311_B1311,5.99526,5.98638,6.00189,3,OR_op_conv,raw/density_r1_A1311_B1311_croaring.csv;raw/density_r2_A1311_B1311_croaring.csv;raw/density_r3_A1311_B1311_croaring.csv
WAH,A1311_B1311,25.2069,25.1981,25.2519,3,OR_op,raw/density_r1_A1311_B1311_wah.csv;raw/density_r2_A1311_B1311_wah.csv;raw/density_r3_A1311_B1311_wah.csv
EWAH,A1311_B1311,19.1017,19.0937,19.1827,3,OR_op,raw/density_r1_A1311_B1311_ewah.csv;raw/density_r2_A1311_B1311_ewah.csv;raw/density_r3_A1311_B1311_ewah.csv
Bitset-AVX512,A1311_B1311,1.54382,1.51663,1.81341,3,OR_op,raw/density_r1_A1311_B1311_bitset_avx512.csv;raw/density_r2_A1311_B1311_bitset_avx512.csv;raw/density_r3_A1311_B1311_bitset_avx512.csv
Concise,A1311_B1311,56.8861,56.7717,56.9656,3,OR_op,raw/density_r1_A1311_B1311_concise.csv;raw/density_r2_A1311_B1311_concise.csv;raw/density_r3_A1311_B1311_concise.csv
DDC,A1311_B3277,1.44203,1.4301,1.46043,3,OR_op,raw/density_r1_A1311_B3277_ddc.csv;raw/density_r2_A1311_B3277_ddc.csv;raw/density_r3_A1311_B3277_ddc.csv
CRoaring,A1311_B3277,5.92833,5.91202,5.97384,3,OR_op_conv,raw/density_r1_A1311_B3277_croaring.csv;raw/density_r2_A1311_B3277_croaring.csv;raw/density_r3_A1311_B3277_croaring.csv
WAH,A1311_B3277,20.1853,20.1682,20.2044,3,OR_op,raw/density_r1_A1311_B3277_wah.csv;raw/density_r2_A1311_B3277_wah.csv;raw/density_r3_A1311_B3277_wah.csv
EWAH,A1311_B3277,12.2432,12.1634,12.3413,3,OR_op,raw/density_r1_A1311_B3277_ewah.csv;raw/density_r2_A1311_B3277_ewah.csv;raw/density_r3_A1311_B3277_ewah.csv
Bitset-AVX512,A1311_B3277,1.73719,1.63193,1.79356,3,OR_op,raw/density_r1_A1311_B3277_bitset_avx512.csv;raw/density_r2_A1311_B3277_bitset_avx512.csv;raw/density_r3_A1311_B3277_bitset_avx512.csv
Concise,A1311_B3277,52.7287,52.7014,52.7383,3,OR_op,raw/density_r1_A1311_B3277_concise.csv;raw/density_r2_A1311_B3277_concise.csv;raw/density_r3_A1311_B3277_concise.csv
DDC,A1311_B6554,1.45378,1.43153,1.46685,3,OR_op,raw/density_r1_A1311_B6554_ddc.csv;raw/density_r2_A1311_B6554_ddc.csv;raw/density_r3_A1311_B6554_ddc.csv
CRoaring,A1311_B6554,3.6402,3.6134,3.71293,3,OR_op_conv,raw/density_r1_A1311_B6554_croaring.csv;raw/density_r2_A1311_B6554_croaring.csv;raw/density_r3_A1311_B6554_croaring.csv
