group,case,operation,native_cr_ms,same_run_delivered_cr_ms,historical_delivered_cr_ms,native_over_same_run_delivered,native_speedup_from_removing_delivery,delivery_overhead_ms,delivery_share_pct,same_run_delivered_over_historical,replicates,native_source_operation,delivered_source_operation
job,mc_ctype,NOT,0.002526,0.01355,0.013602,0.18642066420664208,5.3642121931908155,0.011023999999999999,81.35793357933578,0.9961770327892957,3,NOT_op,NOT_op_conv
job,mc_ctype,COMP,0.005266,0.013148,0.013217,0.4005171889260724,2.4967717432586403,0.007882,59.94828110739276,0.9947794507074222,3,COMP_op_native,COMP_op
job,kind,OR,0.011007,0.026757,0.026912,0.41136898755465856,2.4309076042518396,0.01575,58.86310124453414,0.9942404875148633,3,OR_op,OR_op_conv
job,kind,AND,0.003511,0.00969,0.009774,0.3623323013415892,2.7598974651096557,0.0061790000000000005,63.76676986584107,0.9914057704112954,3,AND_op,AND_op_conv
job,kind,NOT,0.076435,0.126062,0.126035,0.6063286319430121,1.6492706220972069,0.049627000000000004,39.367136805698784,1.000214226207006,3,NOT_op,NOT_op_conv
job,kind,COMP,0.03292,0.050523,0.051115,0.6515844268946817,1.5347205346294046,0.017603,34.84155731053184,0.9884182725227428,3,COMP_op_native,COMP_op
job,role,OR,0.016373,0.273464,0.269256,0.059872597489980396,16.70213155805289,0.25709099999999996,94.01274025100194,1.0156282496954572,3,OR_op,OR_op_conv
job,role,AND,0.00024,0.167886,0.1622,0.001429541474572031,699.525,0.16764600000000002,99.8570458525428,1.0350554870530209,3,AND_op,AND_op_conv
job,role,NOT,0.040444,0.327593,0.3137,0.12345807144841311,8.099915933142123,0.28714900000000004,87.6541928551587,1.044287535862289,3,NOT_op,NOT_op_conv
job,role,COMP,0.066657,0.385864,0.378685,0.17274739286380694,5.788799375909507,0.319207,82.72526071361932,1.018957708913741,3,COMP_op_native,COMP_op
job,pi_itype,OR,0.054111,0.077139,0.0785,0.7014739625870182,1.425569662360703,0.023028,29.852603741298175,0.9826624203821656,3,OR_op,OR_op_conv
job,pi_itype,AND,0.111299,0.118799,0.121381,0.936868155455854,1.0673860501891304,0.007500000000000007,6.313184454414605,0.9787281370230926,3,AND_op,AND_op_conv
job,pi_itype,NOT,0.02385,0.043253,0.051595,0.5514068388319885,1.8135429769392033,0.019403,44.859316116801146,0.8383176664405465,3,NOT_op,NOT_op_conv
job,pi_itype,COMP,0.181732,0.213789,0.301043,0.8500530897286577,1.1763971122311976,0.032057,14.99469102713423,0.7101610068993466,3,COMP_op_native,COMP_op
job,mi_itype,OR,0.001383,0.060365,0.056119,0.02291062701896794,43.647866955892994,0.058982,97.70893729810321,1.0756606496908356,3,OR_op,OR_op_conv
job,mi_itype,AND,8.9e-05,0.044617,0.04015,0.0019947553623058476,501.314606741573,0.044528,99.80052446376942,1.1112577833125779,3,AND_op,AND_op_conv
job,mi_itype,NOT,0.015356,0.104649,0.094551,0.14673814369941424,6.814860640791873,0.08929300000000001,85.32618563005859,1.106799505029032,3,NOT_op,NOT_op_conv
job,mi_itype,COMP,0.019872,0.119194,0.113439,0.16671980133228184,5.998087761674718,0.099322,83.32801986677183,1.0507321115313075,3,COMP_op_native,COMP_op
job,year,OR,0.082867,0.102054,0.102946,0.8119916906735649,1.2315396961395972,0.01918700000000001,18.80083093264351,0.9913352631476697,3,OR_op,OR_op_conv
job,year,AND,0.048527,0.054709,0.060682,0.8870021385878009,1.1273929977126136,0.006182,11.299786141219908,0.9015688342506839,3,AND_op,AND_op_conv
job,year,NOT,0.057381,0.072774,0.069356,0.7884821502184846,1.268259528415329,0.015393000000000004,21.15178497815154,1.0492819655112753,3,NOT_op,NOT_op_conv
job,year,COMP,0.479811,0.502681,0.49498,0.9545039498210593,1.0476646012700837,0.022870000000000057,4.549605017894063,1.015558204371894,3,COMP_op_native,COMP_op
job,country,OR,0.005863,0.006936,0.008881,0.8452998846597463,1.1830121098413782,0.0010730000000000002,15.470011534025376,0.7809931314041212,3,OR_op,OR_op_conv
job,country,AND,0.006768,0.007203,0.009824,0.9396084964598084,1.06427304964539,0.0004350000000000005,6.039150354019166,0.7332043973941369,3,AND_op,AND_op_conv
job,country,NOT,0.001608,0.002911,0.003025,0.552387495705943,1.810323383084577,0.001303,44.761250429405706,0.9623140495867769,3,NOT_op,NOT_op_conv
job,country,COMP,0.029978,0.031323,0.030127,0.9570603071225618,1.0448662352391753,0.0013449999999999955,4.293969287743817,1.0396986092209644,3,COMP_op_native,COMP_op
job,movie_keyword_movie_id,OR,8.1e-05,0.011767,0.011778,0.0068836576867510844,145.2716049382716,0.011686,99.3116342313249,0.9990660553574461,3,OR_op,OR_op_conv
job,movie_keyword_movie_id,AND,6e-05,0.01173,0.011738,0.005115089514066496,195.5,0.011670000000000002,99.48849104859336,0.999318452888056,3,AND_op,AND_op_conv
job,movie_keyword_movie_id,NOT,0.0031,0.028865,0.029008,0.1073965009527109,9.311290322580644,0.025765,89.26034990472891,0.9950703254274682,3,NOT_op,NOT_op_conv
job,movie_keyword_movie_id,COMP,0.002602,0.028255,0.02814,0.09208989559370023,10.858954650269023,0.025653,90.79101044062998,1.0040867093105899,3,COMP_op_native,COMP_op
job,cast_info_movie_id,OR,0.012103,0.183983,0.181257,0.06578325171347352,15.201437660084279,0.17188,93.42167482865264,1.0150394191672598,3,OR_op,OR_op_conv
job,cast_info_movie_id,AND,0.001003,0.168417,0.165799,0.005955455803155263,167.913260219342,0.167414,99.40445441968448,1.015790203800988,3,AND_op,AND_op_conv
job,cast_info_movie_id,NOT,0.07514,0.458773,0.447363,0.16378470398214368,6.105576257652382,0.383633,83.62152960178564,1.0255050149431222,3,NOT_op,NOT_op_conv
job,cast_info_movie_id,COMP,0.134477,0.538099,0.525019,0.24991126168232985,4.001420317228968,0.403622,75.00887383176702,1.0249133840870521,3,COMP_op_native,COMP_op
job,cast_info_person_id,OR,0.000198,0.168274,0.168349,0.0011766523645958377,849.868686868687,0.168076,99.88233476354041,0.9995544969082086,3,OR_op,OR_op_conv
job,cast_info_person_id,AND,0.000127,0.167801,0.167671,0.0007568488864786265,1321.2677165354332,0.16767400000000002,99.92431511135214,1.00077532787423,3,AND_op,AND_op_conv
job,cast_info_person_id,NOT,0.034474,0.395698,0.418066,0.08712199707858012,11.478157451992807,0.361224,91.28780029214198,0.9464964862007434,3,NOT_op,NOT_op_conv
job,cast_info_person_id,COMP,0.036614,0.396448,0.404835,0.09235511340705464,10.82777079805539,0.35983400000000004,90.76448865929454,0.9792829177319156,3,COMP_op_native,COMP_op
cluster,iid,OR,2.08199,3.52124,3.52354,0.5912661448807806,1.6912857410458266,1.4392500000000004,40.873385511921946,0.9993472473705421,3,OR_op,OR_op_conv
cluster,iid,AND,0.374751,1.50589,1.50868,0.24885682221144972,4.018374867578739,1.131139,75.11431777885502,0.9981507012752869,3,AND_op,AND_op_conv
cluster,iid,NOT,1.676,3.09858,3.07412,0.5408929251463573,1.8487947494033414,1.4225800000000002,45.91070748536426,1.0079567485979728,3,NOT_op,NOT_op_conv
cluster,iid,COMP,7.39272,8.90199,8.74709,0.8304570101741297,1.2041562510145116,1.50927,16.95429898258704,1.0177087465660009,3,COMP_op_native,COMP_op
cluster,f2,OR,8.35979,10.4749,10.7133,0.7980782632769764,1.2530099440296945,2.1151099999999996,20.192173672302356,0.977747286083653,3,OR_op,OR_op_conv
cluster,f2,AND,0.957401,2.27569,2.2947,0.4207080050446238,2.376945501414768,1.318289,57.92919949553762,0.9917156926831393,3,AND_op,AND_op_conv
cluster,f2,NOT,1.87896,5.3614,5.32388,0.3504607005632857,2.8533869800315066,3.4824399999999995,64.95392994367143,1.007047491679001,3,NOT_op,NOT_op_conv
cluster,f2,COMP,30.2362,33.4282,33.9568,0.904511759532371,1.1055688214788895,3.1919999999999966,9.548824046762903,0.984433162135419,3,COMP_op_native,COMP_op
cluster,f4,OR,3.5781,5.27331,5.3365,0.678530183129761,1.4737737905592354,1.6952100000000003,32.1469816870239,0.9881589056497705,3,OR_op,OR_op_conv
cluster,f4,AND,0.892726,2.0976,2.06553,0.4255940122044241,2.3496571176374386,1.2048739999999998,57.44059877955758,1.0155262813902486,3,AND_op,AND_op_conv
cluster,f4,NOT,1.05738,5.03009,4.9396,0.21021095049989164,4.757126104144206,3.97271,78.97890495001083,1.0183192971090778,3,NOT_op,NOT_op_conv
cluster,f4,COMP,14.2283,18.1962,18.3097,0.7819379870522417,1.2788737937771906,3.9679,21.806201294775832,0.9938010999634075,3,COMP_op_native,COMP_op
cluster,f8,OR,1.78584,3.17973,3.17558,0.5616325914464436,1.780523451149039,1.39389,43.83674085535564,1.0013068478829064,3,OR_op,OR_op_conv
cluster,f8,AND,0.476433,1.56043,1.47466,0.3053216100690194,3.2752349228537905,1.083997,69.46783899309807,1.0581625595052417,3,AND_op,AND_op_conv
cluster,f8,NOT,0.647316,3.27225,3.29001,0.19781984872793948,5.055104462117421,2.624934,80.21801512720604,0.9946018401159875,3,NOT_op,NOT_op_conv
cluster,f8,COMP,7.30885,10.0067,10.0501,0.7303956349246005,1.3691209971472942,2.6978500000000007,26.960436507539956,0.9956816350086068,3,COMP_op_native,COMP_op
cluster,f16,OR,0.936691,2.05367,2.09358,0.45610589822123326,2.1924732916191143,1.1169789999999997,54.38941017787667,0.9809369596576198,3,OR_op,OR_op_conv
cluster,f16,AND,0.305127,1.13194,1.12003,0.269561107479195,3.7097339796216002,0.826813,73.0438892520805,1.0106336437416854,3,AND_op,AND_op_conv
cluster,f16,NOT,0.445797,2.26391,2.28604,0.19691462999854234,5.078342833172947,1.818113,80.30853700014578,0.990319504470613,3,NOT_op,NOT_op_conv
cluster,f16,COMP,3.86189,5.77021,5.7703,0.6692806674280486,1.494141469591314,1.9083199999999998,33.07193325719515,0.9999844028906643,3,COMP_op_native,COMP_op
cluster,f32,OR,0.517538,1.46883,1.4919,0.35234710620017295,2.838110438267335,0.951292,64.7652893799827,0.9845364970842551,3,OR_op,OR_op_conv
cluster,f32,AND,0.208697,0.911954,0.904321,0.22884597249422667,4.369751362022454,0.703257,77.11540275057733,1.0084405869154869,3,AND_op,AND_op_conv
cluster,f32,NOT,0.362799,1.66913,1.68501,0.21735814466218928,4.600701765991637,1.3063310000000001,78.26418553378107,0.9905757235862103,3,NOT_op,NOT_op_conv
cluster,f32,COMP,2.15726,3.48079,3.52446,0.6197616058423518,1.6135236364647747,1.3235299999999999,38.02383941576481,0.9876094493908286,3,COMP_op_native,COMP_op
cluster,f64,OR,0.306204,1.10568,1.09423,0.2769372693726937,3.6109260493004665,0.7994760000000001,72.30627306273064,1.0104639792365406,3,OR_op,OR_op_conv
cluster,f64,AND,0.168586,0.794177,0.772668,0.21227761569524176,4.710812285717675,0.625591,78.77223843047582,1.0278373117561488,3,AND_op,AND_op_conv
