group,case,num_rows,operation,backend,time_ms,latency_over_ddc,winner,source_operation,source_file,replicates,min_ms,max_ms
job,pi_itype,2963664,OR,EWAH,0.229053,6.605519667781752,DDC,OR_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.229053,0.229053
job,pi_itype,2963664,AND,DDC,0.036247,1.0,DDC,AND_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.036247,0.036247
job,pi_itype,2963664,AND,CRoaring,0.111299,3.0705713576295968,DDC,AND_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_pi_itype.csv,3,0.108913,0.113966
job,pi_itype,2963664,AND,WAH,0.448334,12.36885811239551,DDC,AND_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.448334,0.448334
job,pi_itype,2963664,AND,EWAH,0.237929,6.564101856705382,DDC,AND_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.237929,0.237929
job,pi_itype,2963664,NOT,DDC,0.017324,1.0,DDC,NOT_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.017324,0.017324
job,pi_itype,2963664,NOT,CRoaring,0.02385,1.3767028399907644,DDC,NOT_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_pi_itype.csv,3,0.023794,0.023986
job,pi_itype,2963664,NOT,WAH,0.01774,1.024012930039252,DDC,NOT_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.01774,0.01774
job,pi_itype,2963664,NOT,EWAH,0.162177,9.361406141768644,DDC,NOT_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.162177,0.162177
job,pi_itype,2963664,COMP,DDC,0.102066,1.0,DDC,COMP_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.102066,0.102066
job,pi_itype,2963664,COMP,CRoaring,0.181732,1.7805341641682833,DDC,COMP_op_native,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_pi_itype.csv,3,0.179829,0.184085
job,pi_itype,2963664,COMP,WAH,1.07712,10.553171477279408,DDC,COMP_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,1.07712,1.07712
job,pi_itype,2963664,COMP,EWAH,0.907712,8.893382713146394,DDC,COMP_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.907712,0.907712
job,mi_itype,14835720,OR,DDC,0.000332,1.0,EWAH,OR_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000332,0.000332
job,mi_itype,14835720,OR,CRoaring,0.001383,4.1656626506024095,EWAH,OR_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_mi_itype.csv,3,0.001374,0.001385
job,mi_itype,14835720,OR,WAH,0.00041,1.2349397590361446,EWAH,OR_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.00041,0.00041
job,mi_itype,14835720,OR,EWAH,0.000101,0.3042168674698795,EWAH,OR_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000101,0.000101
job,mi_itype,14835720,AND,DDC,7e-05,1.0,DDC,AND_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,7e-05,7e-05
job,mi_itype,14835720,AND,CRoaring,8.9e-05,1.2714285714285716,DDC,AND_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_mi_itype.csv,3,8.8e-05,0.000118
job,mi_itype,14835720,AND,WAH,0.000304,4.342857142857143,DDC,AND_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000304,0.000304
job,mi_itype,14835720,AND,EWAH,8.8e-05,1.2571428571428571,DDC,AND_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,8.8e-05,8.8e-05
job,mi_itype,14835720,NOT,DDC,0.000347,1.0,EWAH,NOT_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000347,0.000347
job,mi_itype,14835720,NOT,CRoaring,0.015356,44.2536023054755,EWAH,NOT_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_mi_itype.csv,3,0.015226,0.015479
job,mi_itype,14835720,NOT,WAH,0.00014,0.4034582132564841,EWAH,NOT_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.00014,0.00014
job,mi_itype,14835720,NOT,EWAH,9.9e-05,0.28530259365994237,EWAH,NOT_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,9.9e-05,9.9e-05
job,mi_itype,14835720,COMP,DDC,0.000851,1.0,EWAH,COMP_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000851,0.000851
job,mi_itype,14835720,COMP,CRoaring,0.019872,23.351351351351354,EWAH,COMP_op_native,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_mi_itype.csv,3,0.019814,0.019999
job,mi_itype,14835720,COMP,WAH,0.0012,1.4101057579318448,EWAH,COMP_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.0012,0.0012
job,mi_itype,14835720,COMP,EWAH,0.000381,0.44770857814336074,EWAH,COMP_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000381,0.000381
job,year,2528312,OR,DDC,0.027821,1.0,DDC,OR_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.027821,0.027821
job,year,2528312,OR,CRoaring,0.082867,2.9785773336688113,DDC,OR_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_year.csv,3,0.082598,0.08625
job,year,2528312,OR,WAH,0.372002,13.371266309622229,DDC,OR_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.372002,0.372002
job,year,2528312,OR,EWAH,0.155952,5.6055497645663355,DDC,OR_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.155952,0.155952
job,year,2528312,AND,DDC,0.031058,1.0,DDC,AND_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.031058,0.031058
job,year,2528312,AND,CRoaring,0.048527,1.5624637774486445,DDC,AND_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_year.csv,3,0.048512,0.048551
job,year,2528312,AND,WAH,0.350469,11.28433897868504,DDC,AND_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.350469,0.350469
job,year,2528312,AND,EWAH,0.173833,5.597044239809389,DDC,AND_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.173833,0.173833
job,year,2528312,NOT,DDC,0.014207,1.0,DDC,NOT_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.014207,0.014207
job,year,2528312,NOT,CRoaring,0.057381,4.038924473850919,DDC,NOT_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_year.csv,3,0.057281,0.057516
job,year,2528312,NOT,WAH,0.015501,1.0910818610544097,DDC,NOT_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.015501,0.015501
job,year,2528312,NOT,EWAH,0.139853,9.843950165411417,DDC,NOT_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.139853,0.139853
job,year,2528312,COMP,DDC,0.073309,1.0,DDC,COMP_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.073309,0.073309
job,year,2528312,COMP,CRoaring,0.479811,6.545049038999304,DDC,COMP_op_native,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_year.csv,3,0.479546,0.481227
job,year,2528312,COMP,WAH,0.815434,11.123245440532541,DDC,COMP_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.815434,0.815434
job,year,2528312,COMP,EWAH,0.621377,8.476135263064561,DDC,COMP_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.621377,0.621377
job,country,234997,OR,DDC,0.002834,1.0,DDC,OR_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.002834,0.002834
job,country,234997,OR,CRoaring,0.005863,2.0688073394495414,DDC,OR_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_country.csv,3,0.00563,0.005865
job,country,234997,OR,WAH,0.006635,2.34121383203952,DDC,OR_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.006635,0.006635
job,country,234997,OR,EWAH,0.012886,4.5469301340860975,DDC,OR_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.012886,0.012886
job,country,234997,AND,DDC,0.003007,1.0,DDC,AND_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.003007,0.003007
job,country,234997,AND,CRoaring,0.006768,2.2507482540738275,DDC,AND_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_country.csv,3,0.006751,0.006778
job,country,234997,AND,WAH,0.005054,1.6807449285001663,DDC,AND_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.005054,0.005054
job,country,234997,AND,EWAH,0.014048,4.671765879614233,DDC,AND_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.014048,0.014048
job,country,234997,NOT,DDC,0.001632,1.0,CRoaring,NOT_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.001632,0.001632
job,country,234997,NOT,CRoaring,0.001608,0.9852941176470589,CRoaring,NOT_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_country.csv,3,0.001597,0.001613
job,country,234997,NOT,WAH,0.00202,1.2377450980392157,CRoaring,NOT_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.00202,0.00202
job,country,234997,NOT,EWAH,0.00827,5.067401960784314,CRoaring,NOT_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.00827,0.00827
job,country,234997,COMP,DDC,0.006969,1.0,DDC,COMP_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.006969,0.006969
job,country,234997,COMP,CRoaring,0.029978,4.301621466494476,DDC,COMP_op_native,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_country.csv,3,0.029718,0.030043
job,country,234997,COMP,WAH,0.044778,6.425312096427033,DDC,COMP_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.044778,0.044778
job,country,234997,COMP,EWAH,0.053203,7.634237336777155,DDC,COMP_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.053203,0.053203
job,movie_keyword_movie_id,4523930,OR,DDC,0.000179,1.0,CRoaring,OR_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000179,0.000179
job,movie_keyword_movie_id,4523930,OR,CRoaring,8.1e-05,0.452513966480447,CRoaring,OR_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_movie_keyword_movie_id.csv,3,8.1e-05,8.2e-05
job,movie_keyword_movie_id,4523930,OR,WAH,0.000417,2.3296089385474863,CRoaring,OR_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000417,0.000417
