group,case,num_rows,operation,backend,time_ms,latency_over_ddc,winner,source_operation,source_file,replicates,min_ms,max_ms
earth,decade,21844315,COMP,WAH,4.35268,3.748497218346854,CRoaring,COMP_op,R3W1_realworld_excel_20260809/earth_final5/results_earth_final5_20260809.csv,1,4.35268,4.35268
earth,decade,21844315,COMP,EWAH,4.82891,4.158623124752406,CRoaring,COMP_op,R3W1_realworld_excel_20260809/ewah_corrected/earth/results_earth_ewah_corrected_20260809.csv,1,4.82891,4.82891
earth,temp_bin,21844315,OR,DDC,0.307217,1.0,DDC,OR_op,R3W1_realworld_excel_20260809/earth_adaptive_single_replay_20260809/results_earth_adaptive_single_20260809.csv,1,0.307217,0.307217
earth,temp_bin,21844315,OR,CRoaring,0.706805,2.300670210307372,DDC,OR_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/earth/r*_temp_bin.csv,3,0.706231,0.70806
earth,temp_bin,21844315,OR,WAH,4.70663,15.320213399649106,DDC,OR_op,R3W1_realworld_excel_20260809/earth_final5/results_earth_final5_20260809.csv,1,4.70663,4.70663
earth,temp_bin,21844315,OR,EWAH,3.65339,11.891887493205127,DDC,OR_op,R3W1_realworld_excel_20260809/ewah_corrected/earth/results_earth_ewah_corrected_20260809.csv,1,3.65339,3.65339
earth,temp_bin,21844315,AND,DDC,0.320605,1.0,DDC,AND_op,R3W1_realworld_excel_20260809/earth_adaptive_single_replay_20260809/results_earth_adaptive_single_20260809.csv,1,0.320605,0.320605
earth,temp_bin,21844315,AND,CRoaring,0.333905,1.0414840691817036,DDC,AND_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/earth/r*_temp_bin.csv,3,0.331337,0.336177
earth,temp_bin,21844315,AND,WAH,5.02599,15.676580215530015,DDC,AND_op,R3W1_realworld_excel_20260809/earth_final5/results_earth_final5_20260809.csv,1,5.02599,5.02599
earth,temp_bin,21844315,AND,EWAH,3.10061,9.671121785374527,DDC,AND_op,R3W1_realworld_excel_20260809/ewah_corrected/earth/results_earth_ewah_corrected_20260809.csv,1,3.10061,3.10061
earth,temp_bin,21844315,NOT,DDC,0.090285,1.0,DDC,NOT_op,R3W1_realworld_excel_20260809/earth_adaptive_single_replay_20260809/results_earth_adaptive_single_20260809.csv,1,0.090285,0.090285
earth,temp_bin,21844315,NOT,CRoaring,0.483059,5.3503793542670435,DDC,NOT_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/earth/r*_temp_bin.csv,3,0.479186,0.487782
earth,temp_bin,21844315,NOT,WAH,0.148611,1.6460209337099185,DDC,NOT_op,R3W1_realworld_excel_20260809/earth_final5/results_earth_final5_20260809.csv,1,0.148611,0.148611
earth,temp_bin,21844315,NOT,EWAH,1.41647,15.688874120839563,DDC,NOT_op,R3W1_realworld_excel_20260809/ewah_corrected/earth/results_earth_ewah_corrected_20260809.csv,1,1.41647,1.41647
earth,temp_bin,21844315,COMP,DDC,0.963776,1.0,DDC,COMP_op,R3W1_realworld_excel_20260809/earth_adaptive_single_replay_20260809/results_earth_adaptive_single_20260809.csv,1,0.963776,0.963776
earth,temp_bin,21844315,COMP,CRoaring,2.49682,2.5906642207317883,DDC,COMP_op_native,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/earth/r*_temp_bin.csv,3,2.49437,2.49917
earth,temp_bin,21844315,COMP,WAH,10.1455,10.526823660269606,DDC,COMP_op,R3W1_realworld_excel_20260809/earth_final5/results_earth_final5_20260809.csv,1,10.1455,10.1455
earth,temp_bin,21844315,COMP,EWAH,11.6365,12.073863636363637,DDC,COMP_op,R3W1_realworld_excel_20260809/ewah_corrected/earth/results_earth_ewah_corrected_20260809.csv,1,11.6365,11.6365
earth,year,21844315,OR,DDC,0.297575,1.0,CRoaring,OR_op,R3W1_realworld_excel_20260809/earth_adaptive_single_replay_20260809/results_earth_adaptive_single_20260809.csv,1,0.297575,0.297575
earth,year,21844315,OR,CRoaring,0.1249,0.41972611946568095,CRoaring,OR_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/earth/r*_year.csv,3,0.124703,0.126399
earth,year,21844315,OR,WAH,0.811955,2.728572628749055,CRoaring,OR_op,R3W1_realworld_excel_20260809/earth_final5/results_earth_final5_20260809.csv,1,0.811955,0.811955
earth,year,21844315,OR,EWAH,0.592298,1.9904158615475092,CRoaring,OR_op,R3W1_realworld_excel_20260809/ewah_corrected/earth/results_earth_ewah_corrected_20260809.csv,1,0.592298,0.592298
earth,year,21844315,AND,DDC,0.383856,1.0,CRoaring,AND_op,R3W1_realworld_excel_20260809/earth_adaptive_single_replay_20260809/results_earth_adaptive_single_20260809.csv,1,0.383856,0.383856
earth,year,21844315,AND,CRoaring,0.087669,0.22839033387520322,CRoaring,AND_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/earth/r*_year.csv,3,0.087443,0.087998
earth,year,21844315,AND,WAH,0.562976,1.4666333208286442,CRoaring,AND_op,R3W1_realworld_excel_20260809/earth_final5/results_earth_final5_20260809.csv,1,0.562976,0.562976
earth,year,21844315,AND,EWAH,0.48666,1.2678191821933225,CRoaring,AND_op,R3W1_realworld_excel_20260809/ewah_corrected/earth/results_earth_ewah_corrected_20260809.csv,1,0.48666,0.48666
earth,year,21844315,NOT,DDC,0.056204,1.0,WAH,NOT_op,R3W1_realworld_excel_20260809/earth_adaptive_single_replay_20260809/results_earth_adaptive_single_20260809.csv,1,0.056204,0.056204
earth,year,21844315,NOT,CRoaring,0.152047,2.7052700875382536,WAH,NOT_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/earth/r*_year.csv,3,0.151558,0.152122
earth,year,21844315,NOT,WAH,0.012156,0.21628353853818236,WAH,NOT_op,R3W1_realworld_excel_20260809/earth_final5/results_earth_final5_20260809.csv,1,0.012156,0.012156
earth,year,21844315,NOT,EWAH,0.293192,5.216568215785354,WAH,NOT_op,R3W1_realworld_excel_20260809/ewah_corrected/earth/results_earth_ewah_corrected_20260809.csv,1,0.293192,0.293192
earth,year,21844315,COMP,DDC,1.07423,1.0,CRoaring,COMP_op,R3W1_realworld_excel_20260809/earth_adaptive_single_replay_20260809/results_earth_adaptive_single_20260809.csv,1,1.07423,1.07423
earth,year,21844315,COMP,CRoaring,0.615394,0.5728698695810022,CRoaring,COMP_op_native,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/earth/r*_year.csv,3,0.615135,0.616112
earth,year,21844315,COMP,WAH,2.65366,2.470290347504724,CRoaring,COMP_op,R3W1_realworld_excel_20260809/earth_final5/results_earth_final5_20260809.csv,1,2.65366,2.65366
earth,year,21844315,COMP,EWAH,2.35754,2.194632434394869,CRoaring,COMP_op,R3W1_realworld_excel_20260809/ewah_corrected/earth/results_earth_ewah_corrected_20260809.csv,1,2.35754,2.35754
