backend,density_A,density_B,or_time_ms
WAH,20%,20%,14.6241
WAH,20%,30%,3.17936
WAH,20%,40%,3.18347
WAH,20%,50%,3.17245
WAH,30%,0.1%,1.35894
WAH,30%,0.5%,3.21066
WAH,30%,1%,5.95611
WAH,30%,2%,7.56519
WAH,30%,5%,4.7399
WAH,30%,10%,3.28814
WAH,30%,20%,3.17936
WAH,30%,30%,1.8907
WAH,30%,40%,1.89072
WAH,30%,50%,1.88034
WAH,40%,0.1%,1.34784
WAH,40%,0.5%,3.15141
WAH,40%,1%,5.9189
WAH,40%,2%,7.63054
WAH,40%,5%,4.79296
WAH,40%,10%,3.22242
WAH,40%,20%,3.18347
WAH,40%,30%,1.89072
WAH,40%,40%,1.89207
WAH,40%,50%,1.90585
WAH,50%,0.1%,1.36452
WAH,50%,0.5%,3.17408
WAH,50%,1%,5.93937
WAH,50%,2%,7.63487
WAH,50%,5%,4.71449
WAH,50%,10%,3.28136
WAH,50%,20%,3.17245
WAH,50%,30%,1.88034
WAH,50%,40%,1.90585
WAH,50%,50%,1.87911
EWAH,0.1%,0.1%,3.40385
EWAH,0.1%,0.5%,7.09826
EWAH,0.1%,1%,10.504
EWAH,0.1%,2%,10.3351
EWAH,0.1%,5%,5.63962
EWAH,0.1%,10%,3.44548
EWAH,0.1%,20%,3.38731
EWAH,0.1%,30%,3.37197
EWAH,0.1%,40%,3.39184
EWAH,0.1%,50%,3.3131
EWAH,0.5%,0.1%,7.09826
EWAH,0.5%,0.5%,13.9545
EWAH,0.5%,1%,17.608
EWAH,0.5%,2%,18.182
EWAH,0.5%,5%,12.1478
EWAH,0.5%,10%,10.171
EWAH,0.5%,20%,9.98425
EWAH,0.5%,30%,9.98103
EWAH,0.5%,40%,10.0
EWAH,0.5%,50%,9.96716
EWAH,1%,0.1%,10.504
EWAH,1%,0.5%,17.608
EWAH,1%,1%,20.2915
EWAH,1%,2%,21.375
EWAH,1%,5%,15.8071
EWAH,1%,10%,13.6908
EWAH,1%,20%,13.4875
EWAH,1%,30%,13.5505
EWAH,1%,40%,13.5241
EWAH,1%,50%,13.4671
EWAH,2%,0.1%,10.3351
EWAH,2%,0.5%,18.182
EWAH,2%,1%,21.375
EWAH,2%,2%,19.4483
EWAH,2%,5%,12.9656
EWAH,2%,10%,10.8028
EWAH,2%,20%,10.5933
EWAH,2%,30%,10.5354
EWAH,2%,40%,10.6021
EWAH,2%,50%,10.5342
EWAH,5%,0.1%,5.63962
EWAH,5%,0.5%,12.1478
EWAH,5%,1%,15.8071
EWAH,5%,2%,12.9656
EWAH,5%,5%,8.18495
EWAH,5%,10%,6.35042
EWAH,5%,20%,6.25477
EWAH,5%,30%,6.25167
EWAH,5%,40%,6.37525
EWAH,5%,50%,6.24749
EWAH,10%,0.1%,3.44548
EWAH,10%,0.5%,10.171
EWAH,10%,1%,13.6908
EWAH,10%,2%,10.8028
EWAH,10%,5%,6.35042
EWAH,10%,10%,5.68589
EWAH,10%,20%,5.55432
EWAH,10%,30%,5.57681
EWAH,10%,40%,5.63554
EWAH,10%,50%,5.64438
EWAH,20%,0.1%,3.38731
